time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449569641	7.77994	-13.2576	-2.6326	-0.0133688	-1.35503	lidar	0.468712	7.76538	-13.1647	7.75	-13.15	-2.72986	0
1477010449619676	7.69028	-13.2923	-2.55757	-0.0081395	-1.24475	radar	8.98707	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304
1477010449669711	7.54362	-13.283	-2.57656	-0.0771216	-1.24778	lidar	0.538093	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304
1477010449724687	7.40052	-13.2636	-2.57251	-0.14503	-1.24249	radar	0.761869	7.21108	-13.0985	7.3	-13.25	-2.72846	0
1477010449779664	7.24415	-13.2407	-2.59383	-0.213787	-1.2395	lidar	0.379179	7.16011	-13.2382	7.15	-13.25	-2.72844	0
1477010449829700	7.09699	-13.1743	-2.64105	-0.317777	-1.29847	radar	3.65738	6.88472	-12.9588	7	-13.2	-2.99784	0.999284
1477010449879736	6.95103	-13.1363	-2.66913	-0.377981	-1.28963	lidar	0.575251	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284
1477010449934724	6.81902	-13.0887	-2.65994	-0.438033	-1.27511	radar	0.327065	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275
1477010449989712	6.66361	-13.0358	-2.69097	-0.496261	-1.2592	lidar	0.684474	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284
1477010450044722	6.55527	-13.0092	-2.59151	-0.510015	-1.17335	radar	10.229	6.40137	-13.0799	6.4	-13.05	-2.72678	0
1477010450099732	6.39523	-12.9664	-2.6322	-0.54636	-1.1407	lidar	1.47288	6.26174	-13.0534	6.25	-13.05	-2.72678	0
1477010450154684	6.27606	-12.9116	-2.5953	-0.583428	-1.10268	radar	1.913	6.10143	-13.0076	6.1	-13	-2.72966	0.909888
